category,"[310000] Estado del resultado, por función de gasto – Estados financieros consolidados Moneda: CLP - Peso chileno (Miles)",Desde 2018-01-01 Hasta 2018-03-31,Desde 2017-01-01 Hasta 2017-03-31,Desde 2018-01-01 Hasta 2018-06-30,Desde 2018-04-01 Hasta 2018-06-30,Desde 2017-01-01 Hasta 2017-06-30,Desde 2017-04-01 Hasta 2017-06-30,Desde 2018-01-01 Hasta 2018-09-30,Desde 2018-07-01 Hasta 2018-09-30,Desde 2017-01-01 Hasta 2017-09-30,Desde 2017-07-01 Hasta 2017-09-30,Desde 2018-01-01 Hasta 2018-12-31,Desde 2017-01-01 Hasta 2017-12-31,Desde 2019-01-01 Hasta 2019-03-31,Desde 2019-01-01 Hasta 2019-06-30,Desde 2019-04-01 Hasta 2019-06-30,Desde 2019-01-01 Hasta 2019-09-30,Desde 2019-07-01 Hasta 2019-09-30,Desde 2019-01-01 Hasta 2019-12-31,Desde 2020-01-01 Hasta 2020-03-31,Desde 2020-01-01 Hasta 2020-06-30,Desde 2020-04-01 Hasta 2020-06-30,Desde 2020-01-01 Hasta 2020-09-30,Desde 2020-07-01 Hasta 2020-09-30,Desde 2020-01-01 Hasta 2020-12-31
Ganancia (pérdida) [sinopsis],Ganancia (pérdida) [sinopsis],Ganancia (pérdida) [sinopsis],Ganancia (pérdida) [sinopsis],Ganancia (pérdida) [sinopsis],Ganancia (pérdida) [sinopsis],Ganancia (pérdida) [sinopsis],Ganancia (pérdida) [sinopsis],Ganancia (pérdida) [sinopsis],Ganancia (pérdida) [sinopsis],Ganancia (pérdida) [sinopsis],Ganancia (pérdida) [sinopsis],Ganancia (pérdida) [sinopsis],Ganancia (pérdida) [sinopsis],Ganancia (pérdida) [sinopsis],Ganancia (pérdida) [sinopsis],Ganancia (pérdida) [sinopsis],Ganancia (pérdida) [sinopsis],Ganancia (pérdida) [sinopsis],Ganancia (pérdida) [sinopsis],Ganancia (pérdida) [sinopsis],Ganancia (pérdida) [sinopsis],Ganancia (pérdida) [sinopsis],Ganancia (pérdida) [sinopsis],Ganancia (pérdida) [sinopsis],Ganancia (pérdida) [sinopsis]
Ganancia (pérdida) [sinopsis],Ingresos de actividades ordinarias,87.531.082,113.764.680,191.532.138,104.001.056,212.621.382,98.856.702,308.124.197,116.592.059,309.267.369,96.645.987,451.697.466,419.080.389,109.508.172,209.043.884,99.535.712,312.216.077,103.172.193,419.479.603,94.041.699,163.014.156,68.972.457,266.721.934,103.707.778,404.336.048
Ganancia (pérdida) [sinopsis],Costo de ventas,80.752.812,105.645.662,175.518.240,94.765.428,194.502.322,88.856.660,279.774.357,104.256.117,281.877.007,87.374.685,404.530.998,377.543.133,100.222.733,191.087.980,90.865.247,278.270.908,87.182.928,368.283.556,84.281.530,142.876.404,58.594.874,234.822.492,91.946.088,352.932.325
Ganancia (pérdida) [sinopsis],Ganancia bruta,6.778.270,8.119.018,16.013.898,9.235.628,18.119.060,10.000.042,28.349.840,12.335.942,27.390.362,9.271.302,47.166.468,41.537.256,9.285.439,17.955.904,8.670.465,33.945.169,15.989.265,51.196.047,9.760.169,20.137.752,10.377.583,31.899.442,11.761.690,51.403.723
Ganancia (pérdida) [sinopsis],Otros ingresos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ganancia (pérdida) [sinopsis],Costos de distribución,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ganancia (pérdida) [sinopsis],Gastos de administración,4.549.558,4.170.129,9.930.153,5.380.595,8.321.148,4.151.019,15.203.521,5.273.368,12.549.978,4.228.830,17.994.506,19.241.765,4.324.336,8.639.768,4.315.432,15.512.038,6.872.270,19.388.748,4.154.952,7.014.738,2.859.786,11.458.234,4.443.496,15.041.750
Ganancia (pérdida) [sinopsis],"Otros gastos, por función",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ganancia (pérdida) [sinopsis],Otras ganancias (pérdidas),2.280.740,3.616.037,3.761.907,1.481.167,5.134.341,1.518.304,3.475.937,-285.970,5.416.835,282.494,5.670.939,7.070.143,387.845,1.161.937,774.092,3.352.750,2.190.813,3.131.489,1.529.265,3.781.247,2.251.982,6.168.221,2.386.974,1.587.803
Ganancia (pérdida) [sinopsis],Ganancias (pérdidas) de actividades operacionales,4.509.452,7.564.926,9.845.652,5.336.200,14.932.253,7.367.327,16.622.256,6.776.604,20.257.219,5.324.966,34.842.901,29.365.634,5.348.948,10.478.073,5.129.125,21.785.881,11.307.808,34.938.788,7.134.482,16.904.261,9.769.779,26.609.429,9.705.168,37.949.776
Ganancia (pérdida) [sinopsis],Ganancias (pérdidas) que surgen de la baja en cuentas de activos financieros medidos al costo amortizado,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ganancia (pérdida) [sinopsis],Ingresos financieros,421.181,211.621,1.038.200,617.019,380.764,169.143,3.073.694,2.035.494,771.214,390.450,3.287.319,1.339.546,344.194,400.164,55.970,954.508,554.344,508.685,295.830,863.135,567.305,1.146.890,283.755,1.789.479
Ganancia (pérdida) [sinopsis],Costos financieros,2.645.188,3.016.400,5.828.894,3.183.706,5.572.875,2.556.475,8.494.234,2.665.340,8.953.041,3.380.166,11.535.571,10.984.184,3.091.991,6.036.304,2.944.313,9.537.722,3.501.418,12.667.561,3.014.506,5.738.162,2.723.656,8.329.335,2.591.173,11.127.910
Ganancia (pérdida) [sinopsis],Deterioro de valor de ganancias y reversión de pérdidas por deterioro de valor (pérdidas por deterioro de valor) determinado de acuerdo con la NIIF 9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ganancia (pérdida) [sinopsis],Participación en las ganancias (pérdidas) de asociadas y negocios conjuntos que se contabilicen utilizando el método de la participación,443.962,739.559,514.883,70.921,1.665.429,925.870,867.382,352.499,2.071.039,405.610,1.877.081,3.354.655,332.977,1.058.840,725.863,1.073.327,14.487,2.615.698,-330.009,-485.350,-155.341,-38.752,446.598,1.725.176
Ganancia (pérdida) [sinopsis],Diferencias de cambio,-171.991,99.986,214.149,386.140,17.782,-82.204,-126.622,-340.771,-515.097,-532.879,20.182,-644.328,-141.476,-336.611,-195.135,-804.651,-468.040,-1.159.656,,,,,,
Ganancia (pérdida) [sinopsis],Resultados por unidades de reajuste,-354.051,-484.099,-869.181,-515.130,-1.296.933,-812.834,-1.395.206,-526.025,-976.176,320.757,-1.641.269,-1.654.473,-62.186,-1.043.850,-981.664,-1.465.987,-422.137,-1.917.262,-796.728,-988.768,-192.040,-1.112.735,-123.967,-2.185.435
Ganancia (pérdida) [sinopsis],Ganancias (pérdidas) que surgen de diferencias entre importes en libros anteriores y el valor razonable de activos financieros reclasificados como medidos al valor razonable,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ganancia (pérdida) [sinopsis],Ganancia (pérdida) acumulada anteriormente reconocida en otro resultado integral que surge de la reclasificación de activos financieros de la categoría de medición de valor razonable con cambios en otro resultado integral a la de valor razonable con cambios en resultados,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ganancia (pérdida) [sinopsis],Ganancias (pérdidas) de cobertura por cobertura de un grupo de partidas con posiciones de riesgo compensadoras,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ganancia (pérdida) [sinopsis],"Ganancia (pérdida), antes de impuestos",2.203.365,5.115.593,4.914.809,2.711.444,10.126.420,5.010.827,10.547.270,5.632.461,12.655.158,2.528.738,26.850.643,20.776.850,2.730.466,4.520.312,1.789.846,12.005.356,7.485.044,22.318.692,554.254,5.436.153,4.881.899,11.624.875,6.188.722,21.986.052
Ganancia (pérdida) [sinopsis],Gasto por impuestos a las ganancias,307.568,1.248.099,1.014.563,706.995,2.968.800,1.720.701,2.572.641,1.558.078,2.818.576,-150.224,8.857.653,5.858.050,480.902,1.036.612,555.710,4.394.283,3.357.671,8.105.380,802.516,2.545.673,1.743.157,5.189.004,2.643.331,9.394.987
Ganancia (pérdida) [sinopsis],Ganancia (pérdida) procedente de operaciones continuadas,1.895.797,3.867.494,3.900.246,2.004.449,7.157.620,3.290.126,7.974.629,4.074.383,9.836.582,2.678.962,17.992.990,14.918.800,2.249.564,3.483.700,1.234.136,7.611.073,4.127.373,14.213.312,-248.262,2.890.480,3.138.742,6.435.871,3.545.391,12.591.065
Ganancia (pérdida) [sinopsis],Ganancia (pérdida) procedente de operaciones discontinuadas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ganancia (pérdida) [sinopsis],Ganancia (pérdida),1.895.797,3.867.494,3.900.246,2.004.449,7.157.620,3.290.126,7.974.629,4.074.383,9.836.582,2.678.962,17.992.990,14.918.800,2.249.564,3.483.700,1.234.136,7.611.073,4.127.373,14.213.312,-248.262,2.890.480,3.138.742,6.435.871,3.545.391,12.591.065
"Ganancia (pérdida), atribuible a [sinopsis]","Ganancia (pérdida), atribuible a [sinopsis]","Ganancia (pérdida), atribuible a [sinopsis]","Ganancia (pérdida), atribuible a [sinopsis]","Ganancia (pérdida), atribuible a [sinopsis]","Ganancia (pérdida), atribuible a [sinopsis]","Ganancia (pérdida), atribuible a [sinopsis]","Ganancia (pérdida), atribuible a [sinopsis]","Ganancia (pérdida), atribuible a [sinopsis]","Ganancia (pérdida), atribuible a [sinopsis]","Ganancia (pérdida), atribuible a [sinopsis]","Ganancia (pérdida), atribuible a [sinopsis]","Ganancia (pérdida), atribuible a [sinopsis]","Ganancia (pérdida), atribuible a [sinopsis]","Ganancia (pérdida), atribuible a [sinopsis]","Ganancia (pérdida), atribuible a [sinopsis]","Ganancia (pérdida), atribuible a [sinopsis]","Ganancia (pérdida), atribuible a [sinopsis]","Ganancia (pérdida), atribuible a [sinopsis]","Ganancia (pérdida), atribuible a [sinopsis]","Ganancia (pérdida), atribuible a [sinopsis]","Ganancia (pérdida), atribuible a [sinopsis]","Ganancia (pérdida), atribuible a [sinopsis]","Ganancia (pérdida), atribuible a [sinopsis]","Ganancia (pérdida), atribuible a [sinopsis]","Ganancia (pérdida), atribuible a [sinopsis]"
"Ganancia (pérdida), atribuible a [sinopsis]","Ganancia (pérdida), atribuible a los propietarios de la controladora",1.356.198,2.612.396,2.568.428,1.212.230,4.497.980,1.885.584,5.411.796,2.843.368,5.625.278,1.127.298,14.413.092,9.808.554,2.891.317,5.102.065,2.210.748,9.152.795,4.050.730,14.120.203,660.406,4.261.601,3.601.195,8.451.632,4.190.031,14.073.316
"Ganancia (pérdida), atribuible a [sinopsis]","Ganancia (pérdida), atribuible a participaciones no controladoras",539.599,1.255.098,1.331.818,792.219,2.659.640,1.404.542,2.562.833,1.231.015,4.211.304,1.551.664,3.579.898,5.110.246,-641.753,-1.618.365,-976.612,-1.541.722,76.643,93.109,-908.668,-1.371.121,-462.453,-2.015.761,-644.640,-1.482.251
"Ganancia (pérdida), atribuible a [sinopsis]",Ganancia (pérdida),1.895.797,3.867.494,3.900.246,2.004.449,7.157.620,3.290.126,7.974.629,4.074.383,9.836.582,2.678.962,17.992.990,14.918.800,2.249.564,3.483.700,1.234.136,7.611.073,4.127.373,14.213.312,-248.262,2.890.480,3.138.742,6.435.871,3.545.391,12.591.065
"Ganancia (pérdida), atribuible a [sinopsis]",Ganancias por acción [bloque de texto],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ganancias por acción [sinopsis],Ganancias por acción [sinopsis],Ganancias por acción [sinopsis],Ganancias por acción [sinopsis],Ganancias por acción [sinopsis],Ganancias por acción [sinopsis],Ganancias por acción [sinopsis],Ganancias por acción [sinopsis],Ganancias por acción [sinopsis],Ganancias por acción [sinopsis],Ganancias por acción [sinopsis],Ganancias por acción [sinopsis],Ganancias por acción [sinopsis],Ganancias por acción [sinopsis],Ganancias por acción [sinopsis],Ganancias por acción [sinopsis],Ganancias por acción [sinopsis],Ganancias por acción [sinopsis],Ganancias por acción [sinopsis],Ganancias por acción [sinopsis],Ganancias por acción [sinopsis],Ganancias por acción [sinopsis],Ganancias por acción [sinopsis],Ganancias por acción [sinopsis],Ganancias por acción [sinopsis],Ganancias por acción [sinopsis]
Ganancia por acción básica [sinopsis],Ganancia por acción básica [sinopsis],Ganancia por acción básica [sinopsis],Ganancia por acción básica [sinopsis],Ganancia por acción básica [sinopsis],Ganancia por acción básica [sinopsis],Ganancia por acción básica [sinopsis],Ganancia por acción básica [sinopsis],Ganancia por acción básica [sinopsis],Ganancia por acción básica [sinopsis],Ganancia por acción básica [sinopsis],Ganancia por acción básica [sinopsis],Ganancia por acción básica [sinopsis],Ganancia por acción básica [sinopsis],Ganancia por acción básica [sinopsis],Ganancia por acción básica [sinopsis],Ganancia por acción básica [sinopsis],Ganancia por acción básica [sinopsis],Ganancia por acción básica [sinopsis],Ganancia por acción básica [sinopsis],Ganancia por acción básica [sinopsis],Ganancia por acción básica [sinopsis],Ganancia por acción básica [sinopsis],Ganancia por acción básica [sinopsis],Ganancia por acción básica [sinopsis],Ganancia por acción básica [sinopsis]
Ganancia por acción básica [sinopsis],Ganancia (pérdida) por acción básica en operaciones continuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ganancia por acción básica [sinopsis],Ganancia (pérdida) por acción básica en operaciones discontinuadas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,-,-,-,-,-,-,-
Ganancia por acción básica [sinopsis],Ganancia (pérdida) por acción básica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ganancias por acción diluidas [sinopsis],Ganancias por acción diluidas [sinopsis],Ganancias por acción diluidas [sinopsis],Ganancias por acción diluidas [sinopsis],Ganancias por acción diluidas [sinopsis],Ganancias por acción diluidas [sinopsis],Ganancias por acción diluidas [sinopsis],Ganancias por acción diluidas [sinopsis],Ganancias por acción diluidas [sinopsis],Ganancias por acción diluidas [sinopsis],Ganancias por acción diluidas [sinopsis],Ganancias por acción diluidas [sinopsis],Ganancias por acción diluidas [sinopsis],Ganancias por acción diluidas [sinopsis],Ganancias por acción diluidas [sinopsis],Ganancias por acción diluidas [sinopsis],Ganancias por acción diluidas [sinopsis],Ganancias por acción diluidas [sinopsis],Ganancias por acción diluidas [sinopsis],Ganancias por acción diluidas [sinopsis],Ganancias por acción diluidas [sinopsis],Ganancias por acción diluidas [sinopsis],Ganancias por acción diluidas [sinopsis],Ganancias por acción diluidas [sinopsis],Ganancias por acción diluidas [sinopsis],Ganancias por acción diluidas [sinopsis]
Ganancias por acción diluidas [sinopsis],Ganancias (pérdida) diluida por acción procedente de operaciones continuadas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,0
Ganancias por acción diluidas [sinopsis],Ganancias (pérdida) diluida por acción procedentes de operaciones discontinuadas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ganancias por acción diluidas [sinopsis],Ganancias (pérdida) diluida por acción,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,0
Ganancia (pérdida) [sinopsis],Ganancias (pérdidas) de cambio en moneda extranjera,,,,,,,,,,,,,,,,,,,-2.734.815,-5.118.963,-2.384.148,-6.650.622,-1.531.659,-6.165.034
