category,"[510000] Estado de flujos de efectivo, método directo – Estados financieros consolidados Moneda: CLP - Peso chileno (Miles)",Desde 2018-01-01 Hasta 2018-03-31,Desde 2017-01-01 Hasta 2017-03-31,Desde 2018-01-01 Hasta 2018-06-30,Desde 2017-01-01 Hasta 2017-06-30,Desde 2018-01-01 Hasta 2018-09-30,Desde 2017-01-01 Hasta 2017-09-30,Desde 2018-01-01 Hasta 2018-12-31,Desde 2017-01-01 Hasta 2017-12-31,Desde 2019-01-01 Hasta 2019-03-31,Desde 2019-01-01 Hasta 2019-06-30,Desde 2019-01-01 Hasta 2019-09-30,Desde 2019-01-01 Hasta 2019-12-31,Desde 2020-01-01 Hasta 2020-03-31,Desde 2020-01-01 Hasta 2020-06-30,Desde 2020-01-01 Hasta 2020-09-30,Desde 2020-01-01 Hasta 2020-12-31
Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis],Flujos de efectivo procedentes de (utilizados en) actividades de operación [sinopsis]
Clases de cobros por actividades de operación [sinopsis],Clases de cobros por actividades de operación [sinopsis],Clases de cobros por actividades de operación [sinopsis],Clases de cobros por actividades de operación [sinopsis],Clases de cobros por actividades de operación [sinopsis],Clases de cobros por actividades de operación [sinopsis],Clases de cobros por actividades de operación [sinopsis],Clases de cobros por actividades de operación [sinopsis],Clases de cobros por actividades de operación [sinopsis],Clases de cobros por actividades de operación [sinopsis],Clases de cobros por actividades de operación [sinopsis],Clases de cobros por actividades de operación [sinopsis],Clases de cobros por actividades de operación [sinopsis],Clases de cobros por actividades de operación [sinopsis],Clases de cobros por actividades de operación [sinopsis],Clases de cobros por actividades de operación [sinopsis],Clases de cobros por actividades de operación [sinopsis],Clases de cobros por actividades de operación [sinopsis]
Clases de cobros por actividades de operación [sinopsis],Cobros procedentes de las ventas de bienes y prestación de servicios,108.928.114,131.593.251,212.483.041,258.806.616,328.958.569,358.938.022,482.753.736,476.466.940,114.469.515,286.848.484,415.796.103,553.716.334,128.412.975,216.999.019,325.834.660,481.681.055
Clases de cobros por actividades de operación [sinopsis],"Cobros procedentes de regalías, cuotas, comisiones y otros ingresos de actividades ordinarias",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Clases de cobros por actividades de operación [sinopsis],Cobros derivados de contratos mantenidos para intermediación o para negociar con ellos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Clases de cobros por actividades de operación [sinopsis],"Cobros procedentes de primas y prestaciones, anualidades y otros beneficios de pólizas suscritas",465.476,115.624,467.538,175.319,490.968,252.210,557.382,293.382,24.028,228.872,230.011,405.995,822,56.111,158.464,1.212.526
Clases de cobros por actividades de operación [sinopsis],Cobros derivados de arrendamiento y posterior venta de esos activos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Clases de cobros por actividades de operación [sinopsis],Otros cobros por actividades de operación,117.230,47.169,379.122,1.611.761,767.274,565.647,947.327,922.956,475.789,1.253.811,1.485.389,1.376.745,61.681,1.485.938,2.129.004,1.957.895
Clases de pagos [sinopsis],Clases de pagos [sinopsis],Clases de pagos [sinopsis],Clases de pagos [sinopsis],Clases de pagos [sinopsis],Clases de pagos [sinopsis],Clases de pagos [sinopsis],Clases de pagos [sinopsis],Clases de pagos [sinopsis],Clases de pagos [sinopsis],Clases de pagos [sinopsis],Clases de pagos [sinopsis],Clases de pagos [sinopsis],Clases de pagos [sinopsis],Clases de pagos [sinopsis],Clases de pagos [sinopsis],Clases de pagos [sinopsis],Clases de pagos [sinopsis]
